municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
vigliano biellese,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,40
vignale monferrato,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,15
vignale monferrato,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,6
vignale monferrato,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,19
vignale monferrato,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,30
vignale monferrato,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,6
vignale monferrato,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,41
vignanello,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,17
vignanello,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,49
vignanello,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,43
vignanello,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,11
vignate,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,20
vignate,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,17
vignate,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,32
vignate,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
vignate,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,27
vignola,ministero dell'istruzione e del merito,18,24,18-24,0,conto corrente/carta conto,6
vignola,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,100
vignola,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,36
vignola,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,128
vignola,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,65
vignola,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,203
vignola,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,47
vignola,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,184
vignola,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,42
vignola,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,17
vigodarzere,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,13
vigodarzere,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,20
vigodarzere,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,31
